Temperature (K),Pressure (bar),Density (mol/m3),Volume (m3/mol),Internal Energy (kJ/mol),Enthalpy (kJ/mol),Entropy (J/mol*K),Cv (J/mol*K),Cp (J/mol*K),Sound Spd. (m/s),Joule-Thomson (K/bar),Viscosity (uPa*s),Therm. Cond. (W/m*K),Phase
300.0,1068.5,25894.0,3.8619e-05,7.468,11.594,38.716,41.743,70.714,1084.0,-0.025473,190.25,0.17275,liquid
300.0,1075.9,25918.0,3.8583e-05,7.4567,11.608,38.666,41.759,70.675,1086.7,-0.025575,190.93,0.17316,liquid
300.0,1083.2,25942.0,3.8547e-05,7.4455,11.621,38.616,41.774,70.636,1089.3,-0.025675,191.61,0.17357,liquid
300.0,1090.6,25966.0,3.8512e-05,7.4344,11.634,38.566,41.789,70.597,1091.8,-0.025774,192.29,0.17398,liquid
300.0,1097.9,25989.0,3.8477e-05,7.4233,11.648,38.516,41.805,70.559,1094.4,-0.025872,192.96,0.17439,liquid
300.0,1105.2,26013.0,3.8443e-05,7.4123,11.661,38.467,41.82,70.522,1097.0,-0.025968,193.64,0.1748,liquid
300.0,1112.6,26036.0,3.8408e-05,7.4013,11.675,38.417,41.835,70.485,1099.5,-0.026064,194.32,0.17521,liquid
300.0,1119.9,26059.0,3.8374e-05,7.3905,11.688,38.368,41.85,70.448,1102.1,-0.026157,194.99,0.17561,liquid
300.0,1127.3,26082.0,3.834e-05,7.3797,11.702,38.32,41.866,70.412,1104.6,-0.02625,195.67,0.17602,liquid
300.0,1134.6,26105.0,3.8306e-05,7.3689,11.715,38.271,41.881,70.377,1107.1,-0.026342,196.34,0.17642,liquid
300.0,1142.0,26128.0,3.8273e-05,7.3582,11.729,38.223,41.896,70.342,1109.6,-0.026432,197.02,0.17682,liquid
300.0,1149.3,26151.0,3.824e-05,7.3476,11.743,38.175,41.912,70.307,1112.1,-0.026521,197.69,0.17722,liquid
300.0,1156.7,26174.0,3.8207e-05,7.337,11.756,38.127,41.927,70.273,1114.6,-0.026609,198.37,0.17762,liquid
300.0,1164.0,26196.0,3.8174e-05,7.3265,11.77,38.079,41.942,70.239,1117.1,-0.026696,199.04,0.17802,liquid
300.0,1171.4,26218.0,3.8141e-05,7.3161,11.784,38.032,41.958,70.206,1119.5,-0.026782,199.71,0.17842,liquid
300.0,1178.7,26241.0,3.8109e-05,7.3057,11.798,37.984,41.973,70.173,1122.0,-0.026867,200.38,0.17882,liquid
300.0,1186.1,26263.0,3.8077e-05,7.2954,11.812,37.937,41.988,70.141,1124.4,-0.026951,201.05,0.17922,liquid
300.0,1193.4,26285.0,3.8045e-05,7.2851,11.826,37.891,42.004,70.109,1126.8,-0.027033,201.72,0.17961,liquid
300.0,1200.8,26307.0,3.8013e-05,7.2749,11.839,37.844,42.019,70.077,1129.3,-0.027115,202.39,0.18001,liquid
300.0,1208.1,26328.0,3.7982e-05,7.2648,11.853,37.797,42.034,70.046,1131.7,-0.027196,203.06,0.1804,liquid
300.0,1215.5,26350.0,3.7951e-05,7.2547,11.867,37.751,42.05,70.015,1134.1,-0.027275,203.73,0.18079,liquid
300.0,1222.8,26372.0,3.792e-05,7.2446,11.882,37.705,42.065,69.985,1136.5,-0.027354,204.39,0.18119,liquid
300.0,1230.2,26393.0,3.7889e-05,7.2346,11.896,37.659,42.08,69.955,1138.8,-0.027432,205.06,0.18158,liquid
300.0,1237.5,26414.0,3.7858e-05,7.2247,11.91,37.613,42.096,69.925,1141.2,-0.027509,205.73,0.18197,liquid
300.0,1244.9,26436.0,3.7828e-05,7.2148,11.924,37.568,42.111,69.896,1143.6,-0.027585,206.39,0.18236,liquid
300.0,1252.2,26457.0,3.7797e-05,7.205,11.938,37.523,42.126,69.867,1145.9,-0.02766,207.06,0.18274,liquid
300.0,1259.6,26478.0,3.7767e-05,7.1952,11.952,37.477,42.142,69.839,1148.2,-0.027734,207.72,0.18313,liquid
300.0,1266.9,26499.0,3.7738e-05,7.1855,11.967,37.432,42.157,69.811,1150.6,-0.027807,208.39,0.18352,liquid
300.0,1274.3,26520.0,3.7708e-05,7.1758,11.981,37.388,42.173,69.783,1152.9,-0.02788,209.05,0.1839,liquid
300.0,1281.6,26540.0,3.7678e-05,7.1662,11.995,37.343,42.188,69.755,1155.2,-0.027951,209.71,0.18429,liquid
300.0,1289.0,26561.0,3.7649e-05,7.1566,12.009,37.299,42.203,69.728,1157.5,-0.028022,210.38,0.18467,liquid
300.0,1296.3,26582.0,3.762e-05,7.1471,12.024,37.254,42.219,69.701,1159.8,-0.028092,211.04,0.18506,liquid
300.0,1303.7,26602.0,3.7591e-05,7.1376,12.038,37.21,42.234,69.675,1162.1,-0.028161,211.7,0.18544,liquid
