Temperature (K),Pressure (bar),Density (mol/m3),Volume (m3/mol),Internal Energy (kJ/mol),Enthalpy (kJ/mol),Entropy (J/mol*K),Cv (J/mol*K),Cp (J/mol*K),Sound Spd. (m/s),Joule-Thomson (K/bar),Viscosity (uPa*s),Therm. Cond. (W/m*K),Phase,Z
711.7,1010.0,35243.0,2.8374e-05,32.872,35.738,72.779,49.303,92.782,994.82,0.024687,77.095,0.49435,supercritical,0.48432284214538607
711.7,1020.0,35348.0,2.829e-05,32.829,35.715,72.707,49.291,92.418,1000.1,0.024093,77.363,0.49608,supercritical,0.4876701047737481
711.7,1030.0,35451.0,2.8208e-05,32.788,35.693,72.637,49.28,92.065,1005.4,0.023514,77.628,0.4978,supercritical,0.49102378949540904
711.7,1040.0,35553.0,2.8127e-05,32.747,35.672,72.567,49.269,91.72,1010.6,0.02295,77.891,0.4995,supercritical,0.4943673340697559
711.7,1050.0,35653.0,2.8048e-05,32.706,35.651,72.499,49.258,91.384,1015.8,0.0224,78.152,0.50118,supercritical,0.49771899076195397
711.7,1060.0,35753.0,2.797e-05,32.666,35.631,72.431,49.248,91.057,1020.9,0.021864,78.409,0.50285,supercritical,0.50106185932648
711.7,1070.0,35850.0,2.7894e-05,32.627,35.611,72.364,49.239,90.737,1025.9,0.021341,78.665,0.50451,supercritical,0.5044145300334094
711.7,1080.0,35947.0,2.7819e-05,32.588,35.592,72.298,49.23,90.426,1030.9,0.02083,78.918,0.50615,supercritical,0.5077597646323085
711.7,1090.0,36042.0,2.7745e-05,32.549,35.574,72.233,49.221,90.122,1035.9,0.020332,79.169,0.50778,supercritical,0.5110980701305432
711.7,1100.0,36136.0,2.7673e-05,32.511,35.555,72.169,49.213,89.825,1040.8,0.019845,79.418,0.5094,supercritical,0.5144485438055547
711.7,1110.0,36229.0,2.7602e-05,32.474,35.538,72.105,49.205,89.535,1045.7,0.019369,79.665,0.511,supercritical,0.5177934403995434
711.7,1120.0,36321.0,2.7532e-05,32.437,35.521,72.042,49.197,89.252,1050.5,0.018905,79.91,0.51259,supercritical,0.5211332669198752
711.7,1130.0,36412.0,2.7464e-05,32.401,35.504,71.98,49.19,88.975,1055.3,0.01845,80.153,0.51417,supercritical,0.5244876276513569
711.7,1140.0,36501.0,2.7396e-05,32.365,35.488,71.919,49.183,88.704,1060.1,0.018006,80.394,0.51574,supercritical,0.527819004048927
711.7,1150.0,36590.0,2.733e-05,32.329,35.472,71.858,49.176,88.439,1064.8,0.017572,80.633,0.51729,supercritical,0.5311662666772891
711.7,1160.0,36678.0,2.7265e-05,32.294,35.457,71.798,49.17,88.18,1069.4,0.017147,80.87,0.51884,supercritical,0.5345108252663673
711.7,1170.0,36764.0,2.72e-05,32.259,35.442,71.739,49.164,87.927,1074.1,0.016731,81.105,0.52037,supercritical,0.5378334135362651
711.7,1180.0,36850.0,2.7137e-05,32.225,35.427,71.681,49.158,87.679,1078.6,0.016323,81.339,0.5219,supercritical,0.5411739160664178
711.7,1190.0,36934.0,2.7075e-05,32.191,35.413,71.623,49.152,87.436,1083.2,0.015925,81.57,0.52341,supercritical,0.5445132355793839
711.7,1200.0,37018.0,2.7014e-05,32.158,35.4,71.565,49.147,87.198,1087.7,0.015534,81.801,0.52491,supercritical,0.5478518790825289
711.7,1210.0,37101.0,2.6954e-05,32.125,35.386,71.509,49.142,86.965,1092.2,0.015152,82.029,0.52641,supercritical,0.5511903535832188
711.7,1220.0,37183.0,2.6894e-05,32.092,35.373,71.453,49.137,86.737,1096.6,0.014777,82.256,0.52789,supercritical,0.5545085477892806
711.7,1230.0,37264.0,2.6836e-05,32.06,35.361,71.397,49.133,86.513,1101.0,0.01441,82.481,0.52937,supercritical,0.5578480363047018
711.7,1240.0,37344.0,2.6778e-05,32.028,35.348,71.342,49.129,86.293,1105.4,0.01405,82.705,0.53083,supercritical,0.561167920535316
711.7,1250.0,37423.0,2.6721e-05,31.996,35.336,71.288,49.124,86.078,1109.7,0.013697,82.927,0.53229,supercritical,0.5644893257880271
711.7,1260.0,37502.0,2.6665e-05,31.965,35.325,71.234,49.121,85.867,1114.0,0.013351,83.148,0.53374,supercritical,0.5678127590702012
711.7,1270.0,37580.0,2.661e-05,31.934,35.313,71.181,49.117,85.66,1118.3,0.013011,83.367,0.53517,supercritical,0.5711387273892038
711.7,1280.0,37657.0,2.6556e-05,31.903,35.302,71.128,49.114,85.457,1122.6,0.012678,83.585,0.53661,supercritical,0.5744677377524006
711.7,1290.0,37733.0,2.6502e-05,31.873,35.292,71.076,49.11,85.257,1126.8,0.012351,83.802,0.53803,supercritical,0.5777784958504321
711.7,1300.0,37809.0,2.6449e-05,31.843,35.281,71.024,49.107,85.062,1131.0,0.012031,84.017,0.53944,supercritical,0.5810929720024787
711.7,1310.0,37883.0,2.6397e-05,31.813,35.271,70.973,49.104,84.869,1135.1,0.011716,84.231,0.54085,supercritical,0.5844116732159061
711.7,1320.0,37957.0,2.6345e-05,31.784,35.261,70.922,49.102,84.68,1139.2,0.011406,84.443,0.54225,supercritical,0.5877127981739892
711.7,1330.0,38031.0,2.6294e-05,31.755,35.252,70.871,49.099,84.495,1143.3,0.011103,84.655,0.54364,supercritical,0.5910188242032742
711.7,1340.0,38104.0,2.6244e-05,31.726,35.243,70.821,49.097,84.313,1147.4,0.010804,84.865,0.54502,supercritical,0.5943302583111267
711.7,1350.0,38176.0,2.6195e-05,31.697,35.234,70.772,49.095,84.133,1151.4,0.010511,85.073,0.5464,supercritical,0.5976476075049123
711.7,1360.0,38247.0,2.6146e-05,31.669,35.225,70.723,49.093,83.957,1155.4,0.010223,85.281,0.54777,supercritical,0.600948394458085
711.7,1370.0,38318.0,2.6097e-05,31.641,35.217,70.674,49.091,83.784,1159.4,0.0099404,85.487,0.54913,supercritical,0.6042326191706449
